Topic,Question,BT Level
Data Types,Use Data Types to implement a small Java application.,Apply
Control Statements,Implement Control Statements in Java with a working code example.,Apply
Variable Scope,Investigate the common errors that occur while using Variable Scope in Java.,Analyze
Java I/O,Identify the keyword used for Java I/O in Java.,Remember
LinkedList,Design a Java program using LinkedList to model a real-life entity.,Create
Interfaces,Discuss the significance of Interfaces in Java.,Understand
Classes and Objects,Examine how Classes and Objects affects the performance of a Java program.,Analyze
Type Casting,Name the types of Type Casting available in Java.,Remember
Inner Classes,Explain the advantages of using Inner Classes in Java.,Understand
Method Overloading,"Recommend, with justification, when Method Overloading should be used in Java.",Evaluate
Bytecode,Develop a complete Java application that uses Bytecode along with other concepts.,Create
Multidimensional Arrays,Formulate a Java mini-project that showcases Multidimensional Arrays.,Create
Throw and Throws,Inspect a Java program using Throw and Throws and identify the logical flow.,Analyze
super Keyword,Compare super Keyword with a related concept in Java and analyze the differences.,Analyze
Collections Framework,Explain how Collections Framework differs from its alternatives in Java.,Understand
Recursion,Summarize the role of Recursion in Java programming.,Understand
Thread Synchronization,"Determine whether Thread Synchronization improves or harms the efficiency of a Java program, and justify.",Evaluate
Method Overriding,State two characteristics of Method Overriding in Java.,Remember
Custom Exceptions,Describe how Custom Exceptions works in Java.,Understand
Method Overriding,Write a Java program to demonstrate Method Overriding.,Apply
Thread Lifecycle,Develop a Java program that uses Thread Lifecycle to handle a given scenario.,Apply
Annotations,Analyze how Annotations interacts with other features of Java.,Analyze
Inner Classes,Distinguish between correct and incorrect uses of Inner Classes in Java with analysis.,Analyze
Static Binding,Apply the concept of Static Binding to complete a partially written Java program.,Apply
Method Overriding,Apply the concept of Method Overriding to complete a partially written Java program.,Apply
Collections Framework,Analyze the time complexity of operations involving Collections Framework in Java.,Analyze
StringTokenizer,Propose and implement an original Java solution using StringTokenizer.,Create
JVM Architecture,Investigate the common errors that occur while using JVM Architecture in Java.,Analyze
HashMap,Distinguish between correct and incorrect uses of HashMap in Java with analysis.,Analyze
Ternary Operator,Devise a Java program that uses Ternary Operator to implement a custom feature.,Create
Autoboxing,Evaluate the correctness and quality of a Java solution that uses Autoboxing.,Evaluate
Method Overloading,Discuss the significance of Method Overloading in Java.,Understand
Static Binding,Devise a Java program that uses Static Binding to implement a custom feature.,Create
Serialization,Differentiate between Serialization and a related concept in Java.,Understand
Command Line Arguments,Apply the concept of Command Line Arguments to complete a partially written Java program.,Apply
Type Casting,What is Type Casting in Java?,Remember
Enhanced For Loop,"Determine whether Enhanced For Loop improves or harms the efficiency of a Java program, and justify.",Evaluate
Java I/O,"Determine whether Java I/O improves or harms the efficiency of a Java program, and justify.",Evaluate
Stream API,Analyze how Stream API interacts with other features of Java.,Analyze
ClassLoaderBasics,Argue for or against the use of ClassLoaderBasics in a given Java scenario.,Evaluate
this Keyword,Discuss the significance of this Keyword in Java.,Understand
Deque,Define Deque in Java.,Remember
HashSet,Write a Java program to demonstrate HashSet.,Apply
Nested Classes,Discuss the significance of Nested Classes in Java.,Understand
Switch Statement,Classify the different forms of Switch Statement in Java and explain each.,Understand
Java I/O,Develop a Java program that uses Java I/O to handle a given scenario.,Apply
Method Overriding,Write and execute a Java program illustrating Method Overriding.,Apply
Switch Statement,Break down the working of Switch Statement in Java and analyze each step.,Analyze
Arrays,Interpret the behaviour of Arrays in Java with a suitable example.,Understand
Interfaces,Design and build a Java module that applies Interfaces effectively.,Create
Autoboxing,Show how Autoboxing can be used in a Java program to perform a task.,Apply
Exception Handling,Justify whether Exception Handling is the best choice for a given Java programming problem.,Evaluate
File Handling,What are the components of File Handling in Java?,Remember
Recursion,Apply the concept of Recursion to complete a partially written Java program.,Apply
Aggregation,Design a Java program that integrates Aggregation to solve a real-world problem.,Create
HashMap,What is HashMap in Java?,Remember
